id,hip,label,proper,aliases,RA_deg,DEC_deg,distance_pc,distance_ly,spect,mag
118128,,HYG 118128,,GJ 3146,34.12971,13.594943,8.4602,27.59344991,m,15.79
118805,,HYG 118805,,GJ 1154A,183.568635,0.621346,8.4602,27.59344991,m,13.73
118201,,HYG 118201,,GJ 1057,48.34278,4.775634,8.4674,27.61693314,m,13.8
119077,,HYG 119077,,Gl 618B,245.01798,-37.530714,8.4724,27.63324094,M5  :,14.15
118048,,HYG 118048,,GJ 3076,17.856585,15.439265,8.4746,27.64041638,m,14.36
93578,93873,HIP 93873,,HIP 93873 | Gl 745A,286.773255,20.888048,8.5143,27.76990031,M2,10.77
118345,,HYG 118345,,Gl 185B,75.61638,-21.255243,8.5193,27.78620811,,10.5
18852,18899,HIP 18899,,HIP 18899,60.76635,-15.152604,8.5529,27.89579652,,10.41
64720,64924,61    Vir,,HIP 64924 | HD 115617 | HR 5019 | Gl 506 | 61    Vir,199.601445,-18.311196,8.5551,27.90297196,G5V,4.74
118572,,HYG 118572,,GJ 3517,133.400145,-3.49008,8.5616,27.9241721,m,18.8
23397,23452,HIP 23452,,HIP 23452 | HD 32450 | Gl 185A,75.61845,-21.256645,8.5771,27.97472628,M0V,8.31
57629,57802,HIP 57802,,HIP 57802 | Gl 450,177.78072,35.272017,8.5852,28.00114491,M1V,9.76
1595,1599,Zet Tuc,,HIP 1599 | HD 1581 | HR 77 | Gl 17 | Zet Tuc,5.01213,-64.874791,8.5866,28.0057111,F9V,4.23
112869,113229,HIP 113229,,HIP 113229 | Gl 877,343.947075,-75.458671,8.6155,28.09997018,K,10.42
38846,38956,HIP 38956,,HIP 38956 | GJ 1105,119.552745,41.303706,8.6162,28.10225327,M4V,12.02
119519,,HYG 119519,,Gl 867B,339.68862,-20.620869,8.6423,28.18737999,dM4  e,11.45
27844,27913,54Chi1Ori,,HIP 27913 | HD 39587 | HR 2047 | Gl 222A | 54Chi1Ori,88.59579,20.276174,8.6633,28.25587275,G0V,4.39
31220,31292,HIP 31292,,HIP 31292,98.44734,-75.624991,8.6813,28.31458083,,11.41
111450,111802,HIP 111802,,HIP 111802 | HD 214479 | Gl 867A,339.68982,-20.621134,8.6949,28.35893804,M0Vpe,9.06
118955,,HYG 118955,,GJ 3839,214.264875,31.711595,8.6957,28.36154729,m,13.1
118446,,HYG 118446,,Gl 250B,103.074975,-5.188427,8.7002,28.37622431,M2,10.09
